"dist","scenario","n","rep","scheme","i","j","entry","ref","num","err","err_type"
"poisson","lambda_grande",10000,2,"C_richardson",1,1,"J_u[1,1]",8000005,8000005.02814659,3.51832179715318e-09,"rel"
"poisson","lambda_grande",10000,3,"A",1,1,"J_u[1,1]",8000796,8000796.44290159,5.53571901159701e-08,"rel"
"poisson","lambda_grande",10000,3,"B",1,1,"J_u[1,1]",8000796,8000795.49906153,6.26110791234645e-08,"rel"
"poisson","lambda_grande",10000,3,"C_richardson",1,1,"J_u[1,1]",8000796,8000795.98928142,1.33968935924641e-09,"rel"
"geometric","p_media",100,1,"A",1,1,"J_u[1,1]",51.9230769230769,51.9230823516846,1.04550962021221e-07,"rel"
"geometric","p_media",100,1,"B",1,1,"J_u[1,1]",51.9230769230769,51.9261516965359,5.92178592092367e-05,"rel"
"geometric","p_media",100,1,"C_richardson",1,1,"J_u[1,1]",51.9230769230769,51.9231204986572,8.39233398363814e-07,"rel"
"geometric","p_media",100,2,"A",1,1,"J_u[1,1]",52.1531100478469,52.1531162261963,1.18465598622899e-07,"rel"
"geometric","p_media",100,2,"B",1,1,"J_u[1,1]",52.1531100478469,52.1594562456777,0.000121683976755458,"rel"
"geometric","p_media",100,2,"C_richardson",1,1,"J_u[1,1]",52.1531100478469,52.1530831654867,5.15450760396098e-07,"rel"
"geometric","p_media",100,3,"A",1,1,"J_u[1,1]",50.9803921568627,50.9804096221924,3.42589158346567e-07,"rel"
"geometric","p_media",100,3,"B",1,1,"J_u[1,1]",50.9803921568627,50.9844074200997,7.87609327241157e-05,"rel"
"geometric","p_media",100,3,"C_richardson",1,1,"J_u[1,1]",50.9803921568627,50.980447769165,1.09085669891147e-06,"rel"
"geometric","p_media",1000,1,"A",1,1,"J_u[1,1]",507.874015748031,507.874740600586,1.42722906073866e-06,"rel"
"geometric","p_media",1000,1,"B",1,1,"J_u[1,1]",507.874015748031,507.224242386713,0.00127939871143304,"rel"
"geometric","p_media",1000,1,"C_richardson",1,1,"J_u[1,1]",507.874015748031,507.86540222168,1.69599666151334e-05,"rel"
"geometric","p_media",1000,2,"A",1,1,"J_u[1,1]",499.248873309965,499.249008178711,2.70143315685321e-07,"rel"
"geometric","p_media",1000,2,"B",1,1,"J_u[1,1]",499.248873309965,498.505938171607,0.00148810578866774,"rel"
"geometric","p_media",1000,2,"C_richardson",1,1,"J_u[1,1]",499.248873309965,499.247645060221,2.46019532389349e-06,"rel"
"geometric","p_media",1000,3,"A",1,1,"J_u[1,1]",481.865284974093,481.868377685547,6.41820764021624e-06,"rel"
"geometric","p_media",1000,3,"B",1,1,"J_u[1,1]",481.865284974093,482.514112730099,0.00134649200977477,"rel"
"geometric","p_media",1000,3,"C_richardson",1,1,"J_u[1,1]",481.865284974093,481.867197672526,3.9693634142251e-06,"rel"
"geometric","p_media",10000,1,"A",1,1,"J_u[1,1]",5031.79650238474,5031.53466796875,5.2035970823389e-05,"rel"
"geometric","p_media",10000,1,"B",1,1,"J_u[1,1]",5031.79650238474,4961.6204130581,0.0139465277050416,"rel"
"geometric","p_media",10000,1,"C_richardson",1,1,"J_u[1,1]",5031.79650238474,5030.51123046875,0.000255430026905538,"rel"
"geometric","p_media",10000,2,"A",1,1,"J_u[1,1]",4994.24337988687,4994.40014648438,3.13894589390196e-05,"rel"
